WEB ID,Orig ID,Logo,Název shopu,Aktuální štítek,Doba štítku,Nejvyšší dosažený štítek,Očekávaná provize,Reálná provize,Bilance za 30 dnů,Celková bilance,Platící obchod,Importováno produktů,"Google
CSS","Google
CPP","Bing
CSS",Hodnocení,Počet hodnocení,CPC,"Hledanost
s koncovkou","Hledanost
bez koncovky",Návštevnost,Pozice v zemi,Kategorie,Manuální štítky
EFR,559,,Litime.com,No conversion,8.8 měs. (263 dnů),Minimum clicks,5.00 %,nespočtena,0 EUR,-2 EUR,Ano,24,,,,-,-,0.58 USD,10,2 400,3 876,-,Electronics Auto and Moto,-
EFR,575,,Polar.com,No conversion,8.8 měs. (264 dnů),Starter,5.00 %,nespočtena,-2 EUR,-7 EUR,Ano,106,,,,-,-,0.40 USD,70,22 200,3 220 791,4 452,Sport Electronics,-
EFR,438,,Lilysilk.com,No conversion,9.0 měs. (270 dnů),Performer,8.00 %,nespočtena,-3 EUR,29 EUR,Ano,8 021,,,,-,-,2.46 USD,10,5 400,1 067 178,22 914,Clothing Furniture and...,-
EFR,553,,Frette.com,Minimum clicks,9.1 měs. (274 dnů),Minimum clicks,6.00 %,nespočtena,0 EUR,-1 EUR,Ano,815,,,,-,-,0.53 USD,10,6 600,60 386,-,Home and Garden Furniture and...,-
EFR,478,,Duux.com,Minimum clicks,9.1 měs. (274 dnů),Minimum clicks,7.00 %,nespočtena,0 EUR,-1 EUR,Ano,68,,,,-,-,0.08 USD,10,590,58 669,80 925,Home Appliances,-
EFR,474,,Sanusq.fr,Minimum clicks,9.1 měs. (274 dnů),Minimum clicks,12.60 %,nespočtena,0 EUR,0 EUR,Ano,44,,,,-,-,-,-,30,789,-,Dietary Supplements,-
EFR,456,,Elpumps.fr,No conversion,9.1 měs. (274 dnů),Minimum clicks,7.00 %,nespočtena,-1 EUR,-1 EUR,Ano,76,,,,-,-,-,-,10,627,-,Home and Garden,-
EFR,436,,Erverte.com,Minimum clicks,9.1 měs. (274 dnů),Minimum clicks,5.00 %,nespočtena,0 EUR,0 EUR,Ano,149,,,,-,-,-,-,4 400,3 790,3 255 253,Clothing Footwear,-
EFR,424,,Sirhona.fr,No conversion,9.1 měs. (274 dnů),Minimum clicks,-,nespočtena,-2 EUR,-10 EUR,Ano,210,,,,2.70,12,-,-,390,8 494,70 781,Home and Garden Furniture and...,-
EFR,413,,Otterbox.fr,No conversion,9.1 měs. (274 dnů),Minimum clicks,-,nespočtena,-1 EUR,-2 EUR,Ano,1 649,,,,-,-,0.16 USD,10,4 400,29 527,34 577,Electronics Computers & Office,-
EFR,510,,Onyxcookware.fr,No conversion,9.1 měs. (274 dnů),Minimum clicks,12.00 %,nespočtena,-1 EUR,-4 EUR,Ano,473,,,,-,-,-,-,140,1 888,327 091,Home and Garden,-
EFR,401,,Japannext.fr,Minimum clicks,9.1 měs. (274 dnů),Minimum clicks,-,nespočtena,0 EUR,-1 EUR,Ano,24,,,,-,-,-,-,1 300,27 899,124 591,Electronics Computers & Office,-
EFR,398,,Diamondsmileteeth.fr,No conversion,9.1 měs. (274 dnů),Minimum clicks,-,nespočtena,-2 EUR,-3 EUR,Ano,95,,,,-,-,-,-,10,17 843,48 159,Cosmetics and health,-
EFR,396,,Blazevideo.fr,Minimum clicks,9.1 měs. (274 dnů),Minimum clicks,-,nespočtena,0 EUR,-1 EUR,Ano,59,,,,-,-,-,-,170,1 134,454 124,Electronics Hobbies,-
EFR,371,,Cosy-home-design.fr,No conversion,9.1 měs. (274 dnů),Minimum clicks,-,nespočtena,-1 EUR,29 EUR,Ano,1 547,,,,-,-,-,-,110,3 511,195 809,Furniture and... Home and Garden,-
EFR,367,,Laboratoires-biarritz.com,No conversion,9.1 měs. (274 dnů),Minimum clicks,-,nespočtena,-2 EUR,-7 EUR,Ano,352,,,,-,-,-,10,260,53 248,49 651,Cosmetics and health,-
EFR,362,,Rekt.fr,Minimum clicks,9.1 měs. (274 dnů),Minimum clicks,-,nespočtena,0 EUR,0 EUR,Ano,53,,,,-,-,4.04 USD,20,4 400,44 975,26 048,Furniture and... Computers & Office,-
EFR,508,,Modobyroncato.com,Minimum clicks,9.1 měs. (274 dnů),Minimum clicks,7.00 %,nespočtena,0 EUR,0 EUR,Ano,270,,,,-,-,-,0,90,9 395,112 289,Bags and Backpacks,-
EFR,518,,Valkgaming.com,Minimum clicks,9.1 měs. (274 dnů),Minimum clicks,8.00 %,nespočtena,0 EUR,-1 EUR,Ano,31,,,,-,-,-,-,10,34 667,28 800,Furniture and...,-
EFR,556,,Interiorlabels.nl,No conversion,9.1 měs. (274 dnů),No conversion,8.00 %,nespočtena,-2 EUR,-8 EUR,Ano,5 525,,,,-,-,-,-,40,1 670,353 077,Furniture and... Home and Garden,-
EFR,522,,Ibisstore.com,Minimum clicks,9.1 měs. (274 dnů),Minimum clicks,7.00 %,nespočtena,0 EUR,0 EUR,Ano,23,,,,-,-,2.38 USD,10,170,9 520,188 840,Furniture and...,CSS vypnuto_GMC
EFR,523,,shop.Pullmanhotels.com,Minimum clicks,9.1 měs. (274 dnů),Minimum clicks,7.00 %,nespočtena,0 EUR,0 EUR,Ano,28,,,,-,-,-,-,40 500,2 048,191 481,Furniture and...,-
EFR,583,,Lottusse.com,No conversion,9.1 měs. (274 dnů),Minimum clicks,10.00 %,nespočtena,0 EUR,-1 EUR,Ano,3 456,,,,-,-,-,0,390,86 642,10 200,Footwear Clothing Accessories,-
EFR,582,,Fursac.com,No conversion,9.1 měs. (274 dnů),Minimum clicks,8.00 %,nespočtena,-1 EUR,-2 EUR,Ano,2 498,,,,-,-,0.24 USD,10,27 100,84 152,-,Clothing Footwear Accessories,-
EFR,580,,Delife.fr,No conversion,9.1 měs. (274 dnů),Minimum clicks,8.00 %,nespočtena,-4 EUR,-5 EUR,Ano,3 153,,,,-,-,0.89 USD,50,4 400,61 890,8 813,Furniture and...,-
EFR,578,,Novotelstore.com,Minimum clicks,9.1 měs. (274 dnů),Minimum clicks,7.00 %,nespočtena,0 EUR,0 EUR,Ano,33,,,,-,-,-,0,10,7 714,181 267,Furniture and... Cosmetics and health,-
EFR,577,,Oukitel.fr,Minimum clicks,9.1 měs. (274 dnů),Minimum clicks,5.00 %,nespočtena,0 EUR,0 EUR,Ano,13,,,,-,-,1.04 USD,10,6 600,14 021,65 079,Electronics Computers & Office,-
EFR,569,,Wrangler.com,No conversion,9.1 měs. (274 dnů),Minimum clicks,10.00 %,nespočtena,-1 EUR,-2 EUR,Ano,6 153,,,,-,-,1.76 USD,10,14 800,448 599,-,Clothing Footwear,-
EFR,533,,Sexonic.eu,No conversion,9.1 měs. (274 dnů),Minimum clicks,5.00 %,nespočtena,-1 EUR,-8 EUR,Ano,14 528,,,,-,-,-,-,10,0,-,Sexshop,-
EFR,542,,Biform-sante.com,Minimum clicks,9.1 měs. (274 dnů),Minimum clicks,5.00 %,nespočtena,0 EUR,0 EUR,Ano,127,,,,-,-,-,0,70,1 771,-,Dietary Supplements Cosmetics and health,-
EFR,546,,Soundcore.com,No conversion,9.1 měs. (274 dnů),Minimum clicks,7.00 %,nespočtena,-1 EUR,-2 EUR,Ano,179,,,,-,-,0.20 USD,10,5 400,2 582 635,12 069,Electronics,-
EFR,552,,Flexispot.fr,No conversion,9.1 měs. (274 dnů),Minimum clicks,6.00 %,nespočtena,-1 EUR,-1 EUR,Ano,61,,,,-,-,1.84 USD,70,18 100,191 862,8 612,Furniture and... Home and Garden Sport,-
EFR,560,,Justfashionnow.com,No conversion,9.1 měs. (274 dnů),Minimum clicks,14.00 %,nespočtena,0 EUR,-6 EUR,Ano,1 615,,,,-,-,-,10,30,6 857,-,Clothing Footwear,-
EFR,253,,Bohempia.eu,No conversion,9.1 měs. (274 dnů),Minimum clicks,-,nespočtena,-1 EUR,-33 EUR,Ano,1 429,,,,-,-,-,0,140,22 330,481 303,Footwear,-
EFR,207,,Kytary.fr,Minimum clicks,9.1 měs. (274 dnů),Minimum clicks,-,nespočtena,0 EUR,-134 EUR,Ano,16 327,,,,-,-,-,10,170,6 633,114 527,Musical Instruments,CSS vypnuto
